Altium Designer Pick and Place Locations
C:\Users\Ramy Sorial\OneDrive\SBW Project\Electronics\Steering_ECU\Steering_Unit_ECU\Project Outputs for Steering_Unit_ECU\Pick Place for ECU_Board.csv

========================================================================================================================
File Design Information:

Date:       03/02/25
Time:       13:29
Revision:   bb6f5621da7217bf2acdd74c2540902ae94a65bd
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J106","TST-105-02-T-D","TopLayer","TST-105-XX-Y-D","9.7067","25.3812","101.5","Connector"
"IC105","MAX3232CPWR","TopLayer","SOP65P640X120-16N","53.1750","10.0500","0","Integrated Circuit"
"J101","XH2_54_4p","TopLayer","XH2.54-4P","76.5750","33.1400","270",""
"IC101","STM32F405RGT6","TopLayer","QFP50P1200X1200X160-64N","20.5750","36.7500","0","Integrated Circuit"
"D109","1SS416,L3M","BottomLayer","SODFL1006X45N","15.4750","6.8500","90","Schottky Diode"
"D301","ESD5Z5.0T1G","BottomLayer","SODFL1608X70N","63.9750","11.2500","90","Diode"
"D105","ESD5Z5.0T1G","BottomLayer","SODFL1608X70N","28.8250","1.2500","0","Diode"
"D104","ESD5Z5.0T1G","TopLayer","SODFL1608X70N","24.0750","0.6500","90","Diode"
"D103","ESD5Z5.0T1G","TopLayer","SODFL1608X70N","24.3750","6.8500","90","Diode"
"D102","ESD5Z5.0T1G","BottomLayer","SODFL1608X70N","25.0750","3.6500","0","Diode"
"D101","ESD5Z5.0T1G","BottomLayer","SODFL1608X70N","27.2750","2.4500","0","Diode"
"IC401","SN74HC14PWR","TopLayer","SOP65P640X120-14N","62.4912","48.5000","90","Integrated Circuit"
"Jright_501","Pin_1mm","TopLayer","Pin_1.5mm","70.7644","64.0223","90","Pin_Connector"
"LED107","Blue","TopLayer","LEDC1608X80N","60.5750","14.7500","90","LED"
"LED106","Green","TopLayer","LEDC1608X80N","60.2750","9.6500","90","LED"
"IC203","AMS1117-5","TopLayer","SOT229P700X180-4N","49.5750","66.0500","0","Integrated Circuit"
"D107","SP0503BAHTG","BottomLayer","SP0503BAHTG","18.3750","12.5500","180","TVS Diode (Uni-directional)"
"R317","R","BottomLayer","RESC1005X04N","66.2750","13.2500","90","Resistor"
"R316","R","BottomLayer","RESC1005X04N","68.2750","7.7500","90","Resistor"
"R315","R","BottomLayer","RESC1005X04N","68.9750","13.6500","90","Resistor"
"R314","R","TopLayer","RESC1005X04N","69.8750","27.4500","90","Resistor"
"R313","R","TopLayer","RESC1005X04N","70.9750","27.4500","270","Resistor"
"R129","R","TopLayer","RESC1005X04N","28.9250","41.1000","180","Resistor"
"R128","R","BottomLayer","RESC1005X04N","60.2750","9.6500","90","Resistor"
"R127","R","BottomLayer","RESC1005X04N","60.5750","14.9500","90","Resistor"
"C310","Cap","BottomLayer","CAPC1005X06N","70.8750","9.0800","90","Capacitor"
"C309","Cap","TopLayer","CAPC1005X06N","68.7750","27.4500","90","Capacitor"
"C308","Cap","BottomLayer","CAPC1005X06N","52.8750","37.1500","0","Capacitor"
"C227","Cap","BottomLayer","CAPC1005X06N","22.3297","47.7500","0","Capacitor"
"IC301","INA333AIDGKR","BottomLayer","SOP65P490X110-8N","70.9750","33.3500","90","Integrated Circuit"
"S102","TS18-5-25-SL-260-SMT-TR","TopLayer","TS18525SL260SMTTR","16.3750","11.8500","0","Switch"
"S101","TS18-5-25-SL-260-SMT-TR","TopLayer","TS18525SL260SMTTR","40.3750","12.5500","0","Switch"
"R312","R","TopLayer","RESC1005X04N","66.2750","24.7000","0","Resistor"
"R311","R","BottomLayer","RESC1005X04N","63.9750","37.2500","270","Resistor"
"R310","R","TopLayer","RESC1005X04N","63.9750","37.2500","270","Resistor"
"R309","R","BottomLayer","RESC1005X04N","69.8750","18.8000","270","Resistor"
"R308","R","BottomLayer","RESC1005X04N","61.6750","37.7500","90","Resistor"
"R307","R","TopLayer","RESC1005X04N","61.6750","37.7500","90","Resistor"
"R306","R","BottomLayer","RESC1005X04N","61.1625","32.5875","180","Resistor"
"R305","R","TopLayer","RESC1005X04N","70.1750","35.0500","270","Resistor"
"R304","R","BottomLayer","RESC1005X04N","61.1625","30.2875","180","Resistor"
"R303","R","TopLayer","RESC1005X04N","70.1750","32.9500","270","Resistor"
"R302","R","BottomLayer","RESC1005X04N","59.2625","30.1875","270","Resistor"
"R301","R","BottomLayer","RESC1005X04N","61.2625","31.3875","180","Resistor"
"R213","R","BottomLayer","RESC1005X04N","14.6674","48.5004","0","Resistor"
"R212","R","BottomLayer","RESC1005X04N","14.6674","49.5004","0","Resistor"
"R211","R","TopLayer","RESC2012X06N","28.3424","51.8004","180","Resistor"
"R210","R","BottomLayer","RESC2012X06N","28.3424","51.8004","180","Resistor"
"R209","R","BottomLayer","RESC2012X06N","70.8750","56.6500","180","Resistor"
"R208","R","BottomLayer","RESC2012X06N","70.8750","58.7500","180","Resistor"
"R207","R","BottomLayer","RESC2012X06N","5.9750","43.1500","90","Resistor"
"R206","R","BottomLayer","RESC2012X06N","8.1750","53.8500","90","Resistor"
"R205","R","BottomLayer","RESC1005X04N","14.8174","58.0004","0","Resistor"
"R204","R","BottomLayer","RESC1005X04N","16.6424","60.6004","180","Resistor"
"R203","R","BottomLayer","RESC2012X06N","18.0424","62.0004","0","Resistor"
"R202","R","BottomLayer","RESC1005X04N","16.8750","58.5500","0","Resistor"
